time(s),lattitude,longitude,altitude
1731065695,55.367661,10.4305364,78.23900694007637
1731065696,55.3676589,10.4305376,79.19200751656393
1731065696,55.3676566,10.4305383,79.32000918937703
1731065696,55.3676531,10.4305388,79.15201269317267
1731065696,55.3676516,10.4305398,80.16901286270678
1731065696,55.3676498,10.4305402,80.9240144224317
1731065697,55.367647,10.4305397,81.59601875122348
1731065697,55.3676449,10.4305412,81.48801881897947
1731065697,55.3676435,10.4305424,81.67801852506636
1731065697,55.3676421,10.4305437,81.90701806160828
1731065697,55.3676415,10.430546,81.46601490819361
1731065698,55.3676409,10.4305505,81.1660080249546
1731065698,55.3676418,10.4305538,81.31100131131217
1731065698,55.3676409,10.4305557,81.19699920900146
1731065698,55.3676393,10.4305576,80.9189979769418
1731065698,55.3676369,10.4305578,80.598000621584
1731065699,55.3676356,10.4305591,80.41300003376358
1731065699,55.3676353,10.4305617,80.45199599874067
1731065699,55.3676348,10.430565,80.6339910255867
1731065699,55.3676335,10.4305666,80.65098992913803
1731065699,55.3676327,10.4305684,80.72598787200727
1731065700,55.3676319,10.4305703,80.72098564533414
1731065700,55.3676305,10.4305722,80.98198416457114
1731065700,55.3676303,10.4305757,80.48597847935544
1731065700,55.3676291,10.430577,80.6449777671759
1731065700,55.3676281,10.4305776,81.07997799312612
1731065701,55.3676274,10.4305808,81.08797343810585
1731065701,55.3676253,10.4305809,81.4869758792345
1731065701,55.367623,10.4305824,81.83397619543126
1731065701,55.3676226,10.4305839,81.94197414961013
1731065701,55.3676207,10.4305826,82.05397871561237
1731065702,55.3676188,10.4305836,81.51797938220315
1731065702,55.3676166,10.4305839,81.26798160849117
1731065702,55.3676159,10.4305828,83.27298434360947
1731065702,55.3676144,10.4305826,83.18198654737675
1731065702,55.3676117,10.4305825,82.03099007333219
1731065703,55.3676093,10.4305845,79.02298966601873
1731065703,55.3676081,10.4305794,83.79399980418748
1731065703,55.3676056,10.4305803,82.8390013860674
1731065703,55.3676034,10.4305775,84.09600886789804
1731065703,55.3676021,10.4305778,84.11400997527574
1731065704,55.3676013,10.4305787,83.14200944388926
1731065704,55.3676007,10.4305791,83.6850095115762
1731065704,55.3675994,10.4305782,85.45901265339032
1731065704,55.3675967,10.4305809,83.27601143211086
1731065704,55.3675954,10.4305792,85.23801593020224
1731065705,55.3675931,10.4305785,85.25501997593915
1731065705,55.367593,10.4305799,85.48701772671973
1731065705,55.3675932,10.4305825,86.58301307014008
1731065705,55.3675914,10.4305849,85.46901123868525
1731065705,55.3675896,10.4305855,85.00101245889431
1731065706,55.367587,10.4305885,84.7590106045915
1731065706,55.367585,10.4305905,84.65800969983958
1731065706,55.367582,10.4305934,83.65300851221787
1731065706,55.3675811,10.4305943,84.08800810506261
1731065706,55.3675794,10.4305954,83.74900835320983
1731065707,55.3675782,10.4305987,83.74500425002404
1731065707,55.3675766,10.4305972,84.73500878184261
1731065707,55.3675745,10.4305966,84.90401240928387
1731065707,55.3675711,10.4305997,82.02501137963415
1731065707,55.367569,10.4306015,81.3090109381198
1731065708,55.3675672,10.4306011,82.78501385354235
1731065708,55.3675659,10.4306012,83.3530152998027
1731065708,55.3675636,10.4306033,83.39601459821291
1731065708,55.3675611,10.4306012,83.48002126576198
1731065708,55.3675575,10.4306008,81.97402641831407
1731065709,55.367555,10.4306043,80.90502359169903
1731065709,55.367553,10.4306042,80.66702624697206
1731065709,55.3675512,10.4306014,81.98403323115869
1731065709,55.3675485,10.4306008,81.01103760407
1731065709,55.3675479,10.4306014,81.29703733255334
1731065710,55.3675468,10.4305992,81.57504242948222
1731065710,55.3675452,10.4305973,82.05304763920381
1731065710,55.3675434,10.4305984,81.45804801138297
1731065710,55.367541,10.4305997,80.39904879016177
1731065710,55.3675399,10.4305993,80.36405083539373
1731065711,55.3675392,10.4305977,82.11405441793457
1731065711,55.367539,10.4305982,82.10205381881354
1731065711,55.3675379,10.4305991,81.32305366006412
1731065711,55.3675357,10.4305997,80.4560553769846
1731065711,55.3675347,10.4306014,79.97105373765265
1731065712,55.3675332,10.4306003,79.89605746671724
1731065712,55.3675329,10.4306003,80.63305783954937
1731065712,55.3675308,10.4306021,78.8780573977145
1731065712,55.3675291,10.4306014,77.53906069716
1731065712,55.3675276,10.4306002,77.37606459572046
1731065713,55.3675246,10.4305981,77.4650718841967
1731065713,55.3675237,10.4305979,77.30207334172769
1731065713,55.367523,10.430599,76.72107234674874
1731065713,55.367521,10.4305991,75.04407466266221
1731065713,55.367519,10.4305994,74.80407663948762
1731065714,55.3675191,10.4306002,74.68107515893357
1731065714,55.3675182,10.4305997,73.83507712504945
1731065714,55.3675175,10.430598,73.6680808770426
1731065714,55.3675154,10.4305976,73.4910841648517
1731065714,55.3675132,10.4305953,72.90309079807031
1731065715,55.3675115,10.4305951,71.78909324969591
1731065715,55.3675077,10.4305925,70.5861023797274
1731065715,55.3675048,10.4305886,70.00611259524266
1731065715,55.3675019,10.430586,70.26512060676386
1731065715,55.3674995,10.4305851,70.10812511486239
1731065716,55.3674975,10.4305849,70.03912793915738
1731065716,55.3674947,10.4305834,69.74413396144237
1731065716,55.3674929,10.4305842,69.36413484184646
1731065716,55.3674911,10.4305848,69.22113606130293
1731065716,55.3674887,10.430585,69.10313870442053
1731065717,55.3674878,10.430587,68.9071364320768
1731065717,55.3674858,10.430588,68.76613722187606
1731065717,55.3674836,10.4305883,68.67413944689864
1731065717,55.3674824,10.4305899,68.43713822543127
1731065717,55.3674795,10.4305894,68.38214267645873
1731065718,55.3674783,10.4305912,68.26914111590665
1731065718,55.367475,10.4305891,68.28614877640865
1731065718,55.367472,10.4305866,68.43415674223169
1731065718,55.3674691,10.4305865,68.61816051499028
1731065718,55.3674657,10.4305848,68.82716762145472
1731065719,55.3674641,10.4305857,68.62916808361622
1731065719,55.3674626,10.4305865,68.54216859105313
1731065719,55.3674595,10.430586,68.53617329030564
1731065719,55.3674575,10.4305866,68.46517475799462
1731065719,55.3674552,10.4305866,68.60017761558228
1731065720,55.3674529,10.4305869,68.66517996455308
1731065720,55.3674506,10.4305869,68.52118282209445
1731065720,55.3674474,10.4305863,68.58618781495092
1731065720,55.3674453,10.430587,68.5661892372442
1731065720,55.367442,10.4305864,68.64819435426125
1731065721,55.3674393,10.4305859,68.84919855628617
1731065721,55.3674365,10.4305844,68.90320457781424
1731065721,55.3674339,10.4305845,68.77420763835568
1731065721,55.3674326,10.4305859,68.655206879959
1731065721,55.3674313,10.4305883,68.54120442625273
1731065722,55.3674296,10.4305893,68.73620484288789
1731065722,55.3674282,10.4305903,68.60820488681921
1731065722,55.3674259,10.4305906,68.53220723552353
1731065722,55.3674249,10.4305913,68.24920729110735
1731065722,55.3674226,10.4305912,68.40221031790001
1731065723,55.3674217,10.430592,68.52521007971231
1731065723,55.3674193,10.430592,68.49421306117011
1731065723,55.3674162,10.4305897,68.47022081136649
1731065723,55.3674126,10.4305879,68.53422833498205
1731065723,55.3674095,10.4305872,68.4672333726008
1731065724,55.3674062,10.4305851,68.42024103202088
1731065724,55.3674045,10.4305866,68.43424060083572
1731065724,55.367402,10.4305864,67.83524404538201
1731065724,55.3673998,10.4305877,67.59524457431644
1731065724,55.367397,10.4305837,68.17025483354278
1731065725,55.3673949,10.4305831,68.11425845925186
1731065725,55.3673934,10.430582,69.02026218729065
1731065725,55.3673902,10.4305832,68.40226412781344
1731065725,55.3673874,10.4305843,67.50126574097209
1731065725,55.3673842,10.4305826,65.18527259771813
1731065726,55.3673816,10.4305767,66.93328582929468
1731065726,55.3673823,10.4305799,65.39127953495789
1731065726,55.3673801,10.4305779,66.79328565810917
1731065726,55.3673789,10.4305775,65.017287826721
1731065726,55.3673774,10.4305766,64.44729121558328
1731065727,55.367374,10.4305775,63.12929391287916
1731065727,55.3673723,10.4305756,63.86029924538293
1731065727,55.3673693,10.4305752,64.16330364963004
1731065727,55.3673646,10.4305716,65.07031559010497
1731065727,55.3673614,10.4305719,64.07231905596328
1731065728,55.3673559,10.4305708,63.889327751698055
1731065728,55.367352,10.4305711,63.26833208680853
1731065728,55.3673475,10.4305687,63.48734174419034
1731065728,55.3673434,10.4305674,63.72534903993114
1731065728,55.36734,10.4305681,63.58635207577241
1731065729,55.3673365,10.4305658,64.49336032147721
1731065729,55.3673329,10.4305674,63.3173620798758
1731065729,55.36733,10.4305658,63.996368393678544
1731065729,55.367327,10.4305658,64.49437211924715
1731065729,55.3673249,10.430566,63.91637438807467
1731065730,55.3673216,10.4305674,62.93437611279725
1731065730,55.3673199,10.4305668,63.76337924103578
1731065730,55.3673167,10.4305669,63.188383045310175
1731065730,55.3673151,10.4305679,63.08038333696119
1731065730,55.3673134,10.4305658,63.671389007993966
1731065731,55.3673094,10.430565,63.18039533129863
1731065731,55.3673057,10.4305635,62.29840246865942
1731065731,55.3673034,10.4305643,61.58440396850531
1731065731,55.3673002,10.4305644,61.73840777254412
1731065731,55.3672972,10.4305651,61.4244103110625
1731065732,55.3672944,10.4305662,61.346411923113806
1731065732,55.3672939,10.4305702,60.51340576308081
1731065732,55.3672922,10.4305727,60.01440363591666
1731065732,55.3672881,10.4305716,60.53341059159142
